id,pool_id,timeframe,timestamp,datetime,open_price,high_price,low_price,close_price,volume_usd,metadata_json
39320,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,12h,1759536000,2025-10-03 18:00:00-06,0.00002912,0.00002946,0.00002538,0.00002804,11786.16,{}
95030,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,12h,1759622400,2025-10-04 18:00:00-06,0.00002778,0.00003346,0.00002778,0.00003051,2251.92,{}
114131,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,12h,1759665600,2025-10-05 06:00:00-06,0.00003051,0.00003051,0.00002901,0.00002942,242.12,{}
20,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758790800,2025-09-25 03:00:00-06,0.00010436,0.00013704,0.00009527,0.00012348,27387.36,{}
21,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758791700,2025-09-25 03:15:00-06,0.00012348,0.00017252,0.00010520,0.00014998,51021.33,{}
22,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758792600,2025-09-25 03:30:00-06,0.00014998,0.00024070,0.00014782,0.00023776,68888.56,{}
23,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758793500,2025-09-25 03:45:00-06,0.00023776,0.00040502,0.00018333,0.00022593,68487.77,{}
24,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758794400,2025-09-25 04:00:00-06,0.00022593,0.00036535,0.00019550,0.00032773,96251.62,{}
25,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758795300,2025-09-25 04:15:00-06,0.00032773,0.00037087,0.00026432,0.00030911,73900.49,{}
26,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758796200,2025-09-25 04:30:00-06,0.00030911,0.00040423,0.00029708,0.00038455,30301.16,{}
27,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758797100,2025-09-25 04:45:00-06,0.00038455,0.00044783,0.00034135,0.00041330,43961.30,{}
28,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758798000,2025-09-25 05:00:00-06,0.00041330,0.00044778,0.00031040,0.00036393,52001.95,{}
29,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,15m,1758798900,2025-09-25 05:15:00-06,0.00036393,0.00044590,0.00033645,0.00040094,37220.47,{}
3016,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,12h,1759492800,2025-10-03 06:00:00-06,0.00003143,0.00003289,0.00002861,0.00002912,3545.55,{}
91826,solana_2Ausg8ScDHmATwzUVavkQC5fmp59CdvXeHgSTFi4gTQL,1m,1759614840,2025-10-04 15:54:00-06,0.25458667,0.28249787,0.25390563,0.28249787,2124.06,{}
975,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176840,2025-09-29 14:14:00-06,0.00008240,0.00008240,0.00008218,0.00008218,52.44,{}
976,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176900,2025-09-29 14:15:00-06,0.00008218,0.00008218,0.00007938,0.00007938,325.06,{}
977,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759177020,2025-09-29 14:17:00-06,0.00007938,0.00007938,0.00007636,0.00007636,360.10,{}
978,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759177080,2025-09-29 14:18:00-06,0.00007636,0.00007636,0.00007611,0.00007611,19.33,{}
979,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759177140,2025-09-29 14:19:00-06,0.00007611,0.00007690,0.00007535,0.00007580,168.49,{}
980,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759177380,2025-09-29 14:23:00-06,0.00007580,0.00007696,0.00007580,0.00007696,150.75,{}
950,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759174380,2025-09-29 13:33:00-06,0.00008018,0.00008018,0.00007792,0.00007792,543.94,{}
951,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759174500,2025-09-29 13:35:00-06,0.00007792,0.00007792,0.00007769,0.00007769,0.42,{}
952,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759174560,2025-09-29 13:36:00-06,0.00007769,0.00007769,0.00007675,0.00007675,106.46,{}
953,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759174740,2025-09-29 13:39:00-06,0.00007675,0.00007675,0.00007616,0.00007616,91.19,{}
954,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175340,2025-09-29 13:49:00-06,0.00007616,0.00008337,0.00007616,0.00008292,796.74,{}
955,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175400,2025-09-29 13:50:00-06,0.00008292,0.00008359,0.00008292,0.00008359,110.81,{}
956,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175460,2025-09-29 13:51:00-06,0.00008359,0.00008408,0.00008359,0.00008408,2.10,{}
957,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175520,2025-09-29 13:52:00-06,0.00008408,0.00008515,0.00008408,0.00008515,129.26,{}
958,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175580,2025-09-29 13:53:00-06,0.00008515,0.00008704,0.00008490,0.00008606,512.29,{}
959,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175640,2025-09-29 13:54:00-06,0.00008606,0.00009989,0.00008606,0.00009989,1651.54,{}
960,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175700,2025-09-29 13:55:00-06,0.00009989,0.00010048,0.00008865,0.00009426,1751.16,{}
961,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175760,2025-09-29 13:56:00-06,0.00009426,0.00009553,0.00009390,0.00009482,443.50,{}
962,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175820,2025-09-29 13:57:00-06,0.00009482,0.00009502,0.00009362,0.00009502,26.57,{}
963,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759175880,2025-09-29 13:58:00-06,0.00009502,0.00009502,0.00009327,0.00009345,263.79,{}
964,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176000,2025-09-29 14:00:00-06,0.00009345,0.00009345,0.00009336,0.00009336,2.13,{}
965,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176060,2025-09-29 14:01:00-06,0.00009336,0.00009452,0.00009336,0.00009452,8.48,{}
966,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176180,2025-09-29 14:03:00-06,0.00009452,0.00009452,0.00009302,0.00009302,23.37,{}
967,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759176240,2025-09-29 14:04:00-06,0.00009302,0.00009302,0.00009299,0.00009299,28.39,{}
981,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759177500,2025-09-29 14:25:00-06,0.00007696,0.00007732,0.00007696,0.00007732,60.45,{}
986,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178040,2025-09-29 14:34:00-06,0.00007579,0.00007579,0.00007494,0.00007494,222.16,{}
987,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178100,2025-09-29 14:35:00-06,0.00007494,0.00007508,0.00007413,0.00007422,72.23,{}
988,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178160,2025-09-29 14:36:00-06,0.00007422,0.00007537,0.00007422,0.00007537,83.85,{}
989,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178220,2025-09-29 14:37:00-06,0.00007537,0.00007593,0.00007537,0.00007593,61.73,{}
990,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178280,2025-09-29 14:38:00-06,0.00007593,0.00007593,0.00007520,0.00007520,1.08,{}
991,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178340,2025-09-29 14:39:00-06,0.00007520,0.00007520,0.00007506,0.00007506,33.53,{}
992,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178400,2025-09-29 14:40:00-06,0.00007506,0.00007617,0.00007506,0.00007617,77.57,{}
993,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178520,2025-09-29 14:42:00-06,0.00007617,0.00007665,0.00007617,0.00007665,2.12,{}
994,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178580,2025-09-29 14:43:00-06,0.00007665,0.00007665,0.00007546,0.00007546,36.10,{}
995,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759178640,2025-09-29 14:44:00-06,0.00007546,0.00007555,0.00007546,0.00007555,1.69,{}
1007,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759179720,2025-09-29 15:02:00-06,0.00007141,0.00007141,0.00007141,0.00007141,2.00,{}
1008,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759179840,2025-09-29 15:04:00-06,0.00007141,0.00007141,0.00007097,0.00007097,88.01,{}
1009,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759179900,2025-09-29 15:05:00-06,0.00007097,0.00007178,0.00007097,0.00007097,33.42,{}
1010,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759179960,2025-09-29 15:06:00-06,0.00007097,0.00007097,0.00007059,0.00007059,91.12,{}
1011,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180080,2025-09-29 15:08:00-06,0.00007059,0.00007116,0.00007059,0.00007116,8.18,{}
1012,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180140,2025-09-29 15:09:00-06,0.00007116,0.00007116,0.00006937,0.00006937,149.72,{}
1013,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180260,2025-09-29 15:11:00-06,0.00006937,0.00006937,0.00006846,0.00006846,154.09,{}
1014,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180320,2025-09-29 15:12:00-06,0.00006846,0.00006927,0.00006785,0.00006927,95.02,{}
1015,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180380,2025-09-29 15:13:00-06,0.00006711,0.00006711,0.00006564,0.00006564,391.10,{}
1016,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180500,2025-09-29 15:15:00-06,0.00006564,0.00006755,0.00006564,0.00006755,183.60,{}
1017,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180680,2025-09-29 15:18:00-06,0.00006755,0.00006755,0.00006694,0.00006694,2.03,{}
1018,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759180800,2025-09-29 15:20:00-06,0.00006694,0.00006785,0.00006694,0.00006785,10.43,{}
1034,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,1m,1759182900,2025-09-29 15:55:00-06,0.00007412,0.00007517,0.00007412,0.00007517,279.62,{}
