id,address,name,dex_id,base_token_id,quote_token_id,reserve_usd,created_at,last_updated,activity_score,discovery_source,collection_priority,auto_discovered_at,last_activity_check,metadata_json
solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,Butterfly / SOL Pool,solana_unknown,,,0.00,2025-10-03 04:31:18.630265-06,2025-10-03 04:31:18.611825-06,,manual,normal,,,{}
solana_7xgAByv3wMCrF7mNovV4ziWz2468hcpykuSdMPGyohHB,7xgAByv3wMCrF7mNovV4ziWz2468hcpykuSdMPGyohHB,SCOOBY / SOL,pump-fun,7mUDuviBBdJ8AxECV4XLKTN2zJjnYmk75uFKGayTw2CJ,So11111111111111111111111111111111111111112,5136.42,2025-10-03 04:51:15-06,2025-10-03 04:51:58.054408-06,,manual,normal,,,{}
solana_7ZZ2ZFVYqU52RNceAKLHcuvzeSiJvqkdvz3pj2bwoD8u,7ZZ2ZFVYqU52RNceAKLHcuvzeSiJvqkdvz3pj2bwoD8u,BEST / SOL,meteora-dbc,HgLe1sz1wzwMrDre3FXFh8MCLUkb4j1XeHRPMi7nh4uA,So11111111111111111111111111111111111111112,11922.12,2025-10-03 04:51:11-06,2025-10-03 04:51:58.092021-06,,manual,normal,,,{}
solana_ESmSxsnpmV6t8LXTCUQPs6orHpmavdxRBMdnQeEpkZ19,ESmSxsnpmV6t8LXTCUQPs6orHpmavdxRBMdnQeEpkZ19,EAT / SOL,pump-fun,Cs9wcySsjkgxfgnZNPhJCXbB4ZW2SwiVDporJxJjpump,So11111111111111111111111111111111111111112,5719.80,2025-10-03 04:50:58-06,2025-10-03 04:51:58.119836-06,,manual,normal,,,{}
solana_TMqP1XEbYF8zi7RFdHoHCiCVL3KrGqJr5bT9PseijdN,TMqP1XEbYF8zi7RFdHoHCiCVL3KrGqJr5bT9PseijdN,GlGGLE / SOL,raydium-clmm,2qJKPT4PcMr1ifP35kedMpeGQLuwHoLYauMWoWpBMfHn,So11111111111111111111111111111111111111112,97460.98,2025-10-03 04:50:54-06,2025-10-03 04:51:58.157264-06,,manual,normal,,,{}
solana_HevMEuFs3tgZwa8taah1fENhtmCspqXeEHtAS1rrBVE3,HevMEuFs3tgZwa8taah1fENhtmCspqXeEHtAS1rrBVE3,Goro / SOL,pump-fun,3foS4FvrxJuFWHqZHUh8JUqqaCV59U5fXum79tH7pump,So11111111111111111111111111111111111111112,6012.92,2025-10-03 04:50:53-06,2025-10-03 04:51:58.187711-06,,manual,normal,,,{}
solana_GajFyfTuJmLiqw2DpWZfK5p5EGY8oTFNQGNawnVEjafm,GajFyfTuJmLiqw2DpWZfK5p5EGY8oTFNQGNawnVEjafm,GROKIPEDIA / SOL,pumpswap,5E96yRAbVW6BLhmp3VCZq2TzWGzei4zWA3oQSJKG8tkU,So11111111111111111111111111111111111111112,119377.19,2025-10-03 04:50:51-06,2025-10-03 04:51:58.215414-06,,manual,normal,,,{}
solana_DoMW6pLNmHH4n6gkoVNaHyYNid3UQGWav4uJiGfEJhvq,DoMW6pLNmHH4n6gkoVNaHyYNid3UQGWav4uJiGfEJhvq,BASILISK / SOL,pump-fun,FB6eQD4szThLmKsvm6yQYJdFpjQ1ZyMBM3SKnT4Xpump,So11111111111111111111111111111111111111112,8373.95,2025-10-03 04:50:45-06,2025-10-03 04:51:58.247066-06,,manual,normal,,,{}
solana_Huo9XfcPbpTmJNpxhdPxKYq1LLsmG2jS4aoUCUHkm5dK,Huo9XfcPbpTmJNpxhdPxKYq1LLsmG2jS4aoUCUHkm5dK,Stjude / SOL,meteora-damm-v2,7sEEJgqs6N7Fg6w9pN3KYXLmMRnctG7xJfnMLx9TbyBj,So11111111111111111111111111111111111111112,23735.30,2025-10-03 04:50:40-06,2025-10-03 04:51:58.271593-06,,manual,normal,,,{}
solana_3hdqbYY7fwmPXPBQ5k5TP7VgSjJLPSsm3KfbwjL6Zu6v,3hdqbYY7fwmPXPBQ5k5TP7VgSjJLPSsm3KfbwjL6Zu6v,PKEY / SOL,pump-fun,ixoo5ZxpyCGtkw4W9ALuduLfMti2KFYDbpwL1NQpump,So11111111111111111111111111111111111111112,5283.08,2025-10-03 04:50:38-06,2025-10-03 04:51:58.296269-06,,manual,normal,,,{}
