id,pool_id,block_number,tx_hash,tx_from_address,from_token_amount,to_token_amount,price_usd,volume_usd,side,block_timestamp,metadata_json
solana_370896831_48yZmnV6DwFBsFV4RYfSdEyYcATRZ1CTP6N8hb7oL2w1jKHcRyVx94b3wC9n4cjrgMFyetPbtQxPHnsRTmPX6QLG_41_1759486946,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370896831,48yZmnV6DwFBsFV4RYfSdEyYcATRZ1CTP6N8hb7oL2w1jKHcRyVx94b3wC9n4cjrgMFyetPbtQxPHnsRTmPX6QLG,9kEVeWTgQVydeWPfx3ZrCErYwk1ofd4Svkr1sS5BQkRK,4012809.9579220000,0.6346102300,0.00003652,146.53,sell,2025-10-03 10:22:16-06,{}
solana_370895087_GExnNEK1VhQ1kVTuJLrk4xtWFnRQBC76HGmu8ZBdjusuadf2kfD1ZuGyBRHqZm1oWyFihnvwnUNXaC5q2TK3tJP_40_1759486253,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370895087,GExnNEK1VhQ1kVTuJLrk4xtWFnRQBC76HGmu8ZBdjusuadf2kfD1ZuGyBRHqZm1oWyFihnvwnUNXaC5q2TK3tJP,S2Y6rxvQgvRvWWcRjaLaRjBip5E9ZVAWcsUsGsa9Pvj,4910537.9874770000,0.7960234500,0.00003741,183.69,sell,2025-10-03 10:10:48-06,{}
solana_370894822_47yRhHtyjskTxJHidqZYsKBzKpXuK2Ex5GRnpwr1iw3VXktWMP7YUu4Anraf8ayzsb7QDwTaHcoKm6gY6qjvXwWc_40_1759486146,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370894822,47yRhHtyjskTxJHidqZYsKBzKpXuK2Ex5GRnpwr1iw3VXktWMP7YUu4Anraf8ayzsb7QDwTaHcoKm6gY6qjvXwWc,S2Y6rxvQgvRvWWcRjaLaRjBip5E9ZVAWcsUsGsa9Pvj,5009735.7653670000,0.8352620370,0.00003844,192.59,sell,2025-10-03 10:09:01-06,{}
solana_370894082_5HPC4NQBwpoScHSxhXR8HEn6i2h946VHNfjJ8R2vHhEQpPaLDfjBSbuyDQm4pMcXQ1PqkpuPGoPyzy21wYw6wL1M_40_1759485853,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370894082,5HPC4NQBwpoScHSxhXR8HEn6i2h946VHNfjJ8R2vHhEQpPaLDfjBSbuyDQm4pMcXQ1PqkpuPGoPyzy21wYw6wL1M,S2Y6rxvQgvRvWWcRjaLaRjBip5E9ZVAWcsUsGsa9Pvj,10019471.5307330000,1.7418842690,0.00004012,401.97,sell,2025-10-03 10:04:08-06,{}
solana_370893407_3hM1nFPUDZVJhQWTM6wpwX8a8sjcfHbYaPhZmZmYHh9CFhJRpVKrYTC2Tbc6qMrbLQ32F7gwLJQnvSLTSPfcZVzx_60_1759485585,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370893407,3hM1nFPUDZVJhQWTM6wpwX8a8sjcfHbYaPhZmZmYHh9CFhJRpVKrYTC2Tbc6qMrbLQ32F7gwLJQnvSLTSPfcZVzx,2hCwkmQUimMNRmKvmtVnu7XgDyxZXsLJpF8x1kkhvDtV,5175878.6959200000,0.9404723950,0.00004197,217.21,sell,2025-10-03 09:59:40-06,{}
solana_370892999_5zZynAtmMKE5qkM2NqxNXBanNCui3VNFmgoT921VX7LZdJF4NBrXkB48rFkADo9gbwcxskctaKLtX4uHwQyYTQYC_60_1759485438,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370892999,5zZynAtmMKE5qkM2NqxNXBanNCui3VNFmgoT921VX7LZdJF4NBrXkB48rFkADo9gbwcxskctaKLtX4uHwQyYTQYC,2hCwkmQUimMNRmKvmtVnu7XgDyxZXsLJpF8x1kkhvDtV,5175878.6959200000,0.9698646370,0.00004334,224.33,sell,2025-10-03 09:57:01-06,{}
solana_370886586_3PkdZsnyCMKSfPxzYgHMZgy8AuhVAsJb5aeBGdZjRTnP98RpuDufudHc8W79Mdu4tFxVe5j6Dmtk1eqQ5Wmawnir_13_1759482899,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370886586,3PkdZsnyCMKSfPxzYgHMZgy8AuhVAsJb5aeBGdZjRTnP98RpuDufudHc8W79Mdu4tFxVe5j6Dmtk1eqQ5Wmawnir,6gK7aHbXLWaw1VRf7ivU2Tf3w3x5dE16nchB3t5ALTXe,2389534.3922800000,0.4578662020,0.00004428,105.82,sell,2025-10-03 09:14:53-06,{}
solana_370882879_4LmaqJUY7wJzeyPnR2GMMBXG6gYK3FXV3jG57JL9kR6rPKXPXJsm7D1kW1J623XvvaaiHWMMH1VgvYBWBHdB3kjG_40_1759481432,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370882879,4LmaqJUY7wJzeyPnR2GMMBXG6gYK3FXV3jG57JL9kR6rPKXPXJsm7D1kW1J623XvvaaiHWMMH1VgvYBWBHdB3kjG,41ZZQXt8bAojy5jA7LYhSQhnzt9Lv6SWgGsBBktJ5tbp,0.4788478380,2455831.1999390000,230.56914994,110.41,buy,2025-10-03 08:50:26-06,{}
solana_370882347_3qMEKFAqCkWFD6EGZtPxfjySvsUgLh4HkXXo9cXS7SvFJSdwgUyexEd5Gcn4zPgLQ4QUcrpLx48nXkfGvcULdM2E_60_1759481222,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370882347,3qMEKFAqCkWFD6EGZtPxfjySvsUgLh4HkXXo9cXS7SvFJSdwgUyexEd5Gcn4zPgLQ4QUcrpLx48nXkfGvcULdM2E,S2Y6rxvQgvRvWWcRjaLaRjBip5E9ZVAWcsUsGsa9Pvj,0.4900980000,2549048.8218170000,230.62889865,113.03,buy,2025-10-03 08:46:57-06,{}
solana_370882321_4QXmPx1s2VhPNGc8g88pyQCyhfPfSJrGEvAcA4GTHrj9MRjAGVbgfwYjjrzbRwWRsSvQxhx8Ak66DBF4ETSgSFcn_60_1759481210,solana_F5vAiFCP82RQetoxK7ax4dNQCwqk2yez6aisAbFPenJ2,370882321,4QXmPx1s2VhPNGc8g88pyQCyhfPfSJrGEvAcA4GTHrj9MRjAGVbgfwYjjrzbRwWRsSvQxhx8Ak66DBF4ETSgSFcn,S2Y6rxvQgvRvWWcRjaLaRjBip5E9ZVAWcsUsGsa9Pvj,1.4702940000,8043356.4163600000,230.62947481,339.09,buy,2025-10-03 08:46:47-06,{}
