datetime,symbol,open,high,low,close,volume
2025-08-09 14:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,7.71e-05,7.917e-05,4.92e-06,5.03e-06,27316.72
2025-08-09 15:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,5.03e-06,5.07e-06,4.22e-06,4.24e-06,628.95
2025-08-09 16:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,4.24e-06,4.24e-06,3.83e-06,3.83e-06,190.22
2025-08-09 17:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.83e-06,3.85e-06,3.82e-06,3.85e-06,31.39
2025-08-09 18:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.85e-06,3.85e-06,3.79e-06,3.79e-06,41.58
2025-08-09 19:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.79e-06,3.8e-06,3.77e-06,3.78e-06,8.03
2025-08-09 20:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.78e-06,3.81e-06,3.78e-06,3.8e-06,29.09
2025-08-09 21:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.8e-06,1.036e-05,3.79e-06,3.8e-06,6153.45
2025-08-09 22:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.8e-06,3.86e-06,3.8e-06,3.83e-06,48.89
2025-08-09 23:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.83e-06,3.91e-06,3.83e-06,3.9e-06,49.8
2025-08-10 00:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.9e-06,3.91e-06,3.9e-06,3.91e-06,1.82
2025-08-10 01:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.91e-06,3.99e-06,3.91e-06,3.99e-06,0.4
2025-08-10 02:00:00,solana_AQva7PWUKjngnN8MwGmVAf3Y9wZAxkroRx74nB5q2Hhm,3.99e-06,4e-06,3.98e-06,4e-06,2.37
