datetime,symbol,open,high,low,close,volume
2025-08-26 23:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,8.081e-05,0.00017859,3.179e-05,5.431e-05,503104.24
2025-08-27 00:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.431e-05,7.063e-05,3.899e-05,4.768e-05,65529.27
2025-08-27 01:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,4.768e-05,6.575e-05,1.993e-05,2.421e-05,43023.42
2025-08-27 02:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,2.421e-05,2.421e-05,1.254e-05,1.284e-05,11372.21
2025-08-27 03:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,1.284e-05,1.286e-05,7.64e-06,7.88e-06,2311.57
2025-08-27 04:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,7.88e-06,8.95e-06,7.07e-06,7.07e-06,1254.57
2025-08-27 05:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,7.07e-06,7.56e-06,6.82e-06,7.05e-06,833.33
2025-08-27 06:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,7.05e-06,7.11e-06,6.04e-06,6.23e-06,1184.62
2025-08-27 07:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,6.23e-06,6.23e-06,5.94e-06,5.94e-06,117.63
2025-08-27 08:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.94e-06,5.94e-06,5.59e-06,5.59e-06,140.75
2025-08-27 09:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.59e-06,5.63e-06,5.43e-06,5.43e-06,75.81
2025-08-27 10:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.43e-06,5.43e-06,5.31e-06,5.31e-06,58.53
2025-08-27 11:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.31e-06,5.31e-06,5.22e-06,5.22e-06,42.82
2025-08-27 12:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.22e-06,5.3e-06,5.18e-06,5.2e-06,50.32
2025-08-27 13:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.2e-06,5.23e-06,5.08e-06,5.09e-06,46.59
2025-08-27 14:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.09e-06,5.21e-06,5.09e-06,5.21e-06,10.02
2025-08-27 15:00:00,solana_J5hY6oBS4toe9Rvyn1WLqy3sBq1wK1xnGgj3Dg4xFPUb,5.21e-06,5.23e-06,5.18e-06,5.18e-06,7.91
