id,pool_id,timeframe,timestamp,open_price,high_price,low_price,close_price,volume_usd,datetime,created_at
1,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1756569600,2.24E-05,5.56E-05,2.24E-05,4.63E-05,8473.332505,00:00.0,8/30/2025 17:52
2,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1756566000,2.26E-05,2.26E-05,2.22E-05,2.24E-05,146.5175843,00:00.0,8/30/2025 17:52
3,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1756562400,2.28E-05,2.28E-05,2.26E-05,2.26E-05,88.21511176,00:00.0,8/30/2025 17:52
4,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755723600,7.88E-05,0.000152322,4.21E-05,6.61E-05,602193.6678,00:00.0,8/30/2025 18:06
5,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755727200,6.61E-05,9.16E-05,1.82E-05,4.84E-05,249360.6097,00:00.0,8/30/2025 18:06
6,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755730800,4.84E-05,5.52E-05,2.64E-05,4.18E-05,45621.47898,00:00.0,8/30/2025 18:06
7,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755734400,4.18E-05,5.68E-05,3.56E-05,3.82E-05,26072.50139,00:00.0,8/30/2025 18:06
8,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755738000,3.82E-05,3.85E-05,1.21E-05,1.32E-05,19019.3436,00:00.0,8/30/2025 18:06
9,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755741600,1.32E-05,2.01E-05,9.77E-06,1.05E-05,8930.447859,00:00.0,8/30/2025 18:06
10,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755745200,1.05E-05,1.56E-05,1.02E-05,1.47E-05,2958.578972,00:00.0,8/30/2025 18:06
11,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755748800,1.47E-05,1.86E-05,1.09E-05,1.27E-05,7355.209597,00:00.0,8/30/2025 18:06
12,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755752400,1.27E-05,1.71E-05,1.22E-05,1.61E-05,3091.298432,00:00.0,8/30/2025 18:06
13,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755756000,1.61E-05,2.56E-05,1.61E-05,2.41E-05,3345.523304,00:00.0,8/30/2025 18:06
14,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755759600,2.41E-05,2.63E-05,1.94E-05,2.53E-05,4438.954223,00:00.0,8/30/2025 18:06
15,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755763200,2.53E-05,2.58E-05,1.91E-05,2.14E-05,3266.194416,00:00.0,8/30/2025 18:06
16,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755766800,2.14E-05,2.14E-05,1.89E-05,1.91E-05,748.9618437,00:00.0,8/30/2025 18:06
17,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755770400,1.91E-05,1.98E-05,1.74E-05,1.74E-05,590.5111306,00:00.0,8/30/2025 18:06
18,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755774000,1.74E-05,1.74E-05,1.27E-05,1.48E-05,1992.842403,00:00.0,8/30/2025 18:06
19,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755777600,1.48E-05,1.62E-05,1.48E-05,1.59E-05,560.9123575,00:00.0,8/30/2025 18:06
20,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755781200,1.59E-05,2.01E-05,1.37E-05,1.66E-05,2893.93041,00:00.0,8/30/2025 18:06
21,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755784800,1.66E-05,2.90E-05,1.54E-05,2.73E-05,7949.881689,00:00.0,8/30/2025 18:06
22,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755788400,2.73E-05,3.73E-05,2.67E-05,3.50E-05,5225.417121,00:00.0,8/30/2025 18:06
23,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755792000,3.50E-05,5.39E-05,3.06E-05,3.16E-05,14666.84749,00:00.0,8/30/2025 18:06
24,solana_7bqJG2ZdMKbEkgSmfuqNVBvqEvWavgL8UEo33ZqdL3NP,1h,1755795600,3.16E-05,5.64E-05,3.07E-05,4.39E-05,17907.82761,00:00.0,8/30/2025 18:06
