id,type,name,base_token_price_usd,base_token_price_native_currency,quote_token_price_usd,quote_token_price_native_currency,address,reserve_in_usd,pool_created_at,fdv_usd,market_cap_usd,price_change_percentage_h1,price_change_percentage_h24,transactions_h1_buys,transactions_h1_sells,transactions_h24_buys,transactions_h24_sells,volume_usd_h24,dex_id,base_token_id,quote_token_id,network_id
solana_AnvQMnzXbAeYRWEbhM7FcivoSxA1roFS41La1ZcFxfgb,pool,Resilience / SOL,0.0000130998297715387,0.00000006,214.73,1.0,AnvQMnzXbAeYRWEbhM7FcivoSxA1roFS41La1ZcFxfgb,19680.7346,2025-08-28T17:52:49Z,13099.82977,,-0.834,-40.815,0,3,1981,1503,449979.315884139,heaven,J6zQ2rjFrs7Va3yCHw5bs63n3VFgKfq9DaFUxBCVY777,So11111111111111111111111111111111111111112,solana
solana_EkU9zGSkUnVVK6nhmPSqnxqcKPzt1PicrCjdxSbWo9uA,pool,$LIGHT / SOL,0.0678777593860309,0.000310759,215.15,1.0,EkU9zGSkUnVVK6nhmPSqnxqcKPzt1PicrCjdxSbWo9uA,3052941.1365,2025-08-11T20:37:25Z,63949167.973854,34869432.469885,0.35,9.644,60,4,1107,714,2522521.67634044,heaven,LiGHtkg3uTa9836RaNkKLLriqTNRcMdRAhqjGWNv777,So11111111111111111111111111111111111111112,solana
solana_Fw1KLDHCPaJaVX4tnc2iTVEmN1KrmCnXD9hb8244VP8W,pool,outlier / SOL,0.000796230764406059,0.000003704,214.97,1.0,Fw1KLDHCPaJaVX4tnc2iTVEmN1KrmCnXD9hb8244VP8W,154795.0821,2025-08-16T17:47:44Z,796230.7644,,7.287,-14.96,53,26,837,753,517272.936783257,heaven,82pZfrex4AnDC8KwoHYzRU2peV66KiAoKqq8a5BM3777,So11111111111111111111111111111111111111112,solana
solana_7SWbVXmn2Ar8CqAdVZfQmZcCGmnChRp2JTfuEzyBL17V,pool,JUAN / SOL,0.000502283878448267,0.000002334,215.13,1.0,7SWbVXmn2Ar8CqAdVZfQmZcCGmnChRp2JTfuEzyBL17V,122980.3276,2025-08-23T17:05:58Z,502283.877897716,,7.203,22.497,24,40,460,351,220436.737363386,heaven,5efQfRqBwYDob34CdeYyxnYAhPLKk4Y1Dy3FFNV2C777,So11111111111111111111111111111111111111112,solana
solana_5ffRXidB21gyLSASNwJtZv3CF5R8BhG6pDuUpY2oUKrZ,pool,PEPE / SOL,0.0000309087859857499,0.000000141,215.14,1.0,5ffRXidB21gyLSASNwJtZv3CF5R8BhG6pDuUpY2oUKrZ,30227.0194,2025-08-28T19:42:29Z,30908.78599,,-14.338,258.094,72,44,477,270,74977.6891346751,heaven,5Ycaj5zHUVbXUZM8jJbkybUjt75hha3w9zGcNrukA777,So11111111111111111111111111111111111111112,solana
solana_2gHKtu65ujq7K5bPeaNBk92wPyAQuWqTVMudxYfAYfti,pool,DARK / SOL,0.00113307237874653,0.000005162,214.78,1.0,2gHKtu65ujq7K5bPeaNBk92wPyAQuWqTVMudxYfAYfti,182687.7579,2025-08-19T09:20:36Z,1129062.49702911,1155523.59604894,20.556,23.091,53,76,349,309,202086.655384153,heaven,6pvtv14ye2nvxqCR8fc8y7TTU6SkLGyaSVnVNS9V6777,So11111111111111111111111111111111111111112,solana
solana_B1Y8HSTjN39SEumXGmtDtuXviGg94TRBLrokoxKqgcVa,pool,Resilience / SOL,0.000007430164511025,0.000000035,209.85,1.0,B1Y8HSTjN39SEumXGmtDtuXviGg94TRBLrokoxKqgcVa,14992.7713,2025-08-28T17:53:03Z,7430.164511,,0,-7.693,0,0,330,315,87268.0468414084,heaven,HRetzYLxTcLYQffn86dbPzAuAuBYyNALYpAWZnkaA777,So11111111111111111111111111111111111111112,solana
solana_E2at1duW2nznvYzh6seUD4X3e3zw2Mjq9PeeusvrtrYH,pool,Halo / SOL,0.000141076214549321,0.000000654,214.97,1.0,E2at1duW2nznvYzh6seUD4X3e3zw2Mjq9PeeusvrtrYH,65044.5099,2025-08-15T04:35:35Z,141076.2145,,-6.037,-24.284,6,14,235,191,71826.9377318169,heaven,78xmpyP3A6suGGoz62ZnsuhBtHxuHS3AooD445wKn777,So11111111111111111111111111111111111111112,solana
solana_2X3V92NT8wBkAozfR2v2q7Nz5QbJhShZhqZaKrmYg4w5,pool,MAGIK / SOL,0.00511481474583078,0.000023738,214.73,1.0,2X3V92NT8wBkAozfR2v2q7Nz5QbJhShZhqZaKrmYg4w5,391452.2532,2025-08-25T23:17:11Z,5153365.67384664,,-7.124,-0.166,5,14,171,200,359192.563100535,heaven,DPx7RHVNKGarvTwsbuE81c3cnNoP5qSqBNP5iZ7w5777,So11111111111111111111111111111111111111112,solana
solana_D6UE7YJy49gFz4Wu6ttGhfoGQCRJ2GhVg4vKfrepNqjw,pool,inevitable / SOL,0.0000071766629088587,0.000000119,204.970167164568,1.0,D6UE7YJy49gFz4Wu6ttGhfoGQCRJ2GhVg4vKfrepNqjw,27645.0479,2025-08-27T22:38:38Z,7176.662909,,0,-8.601,0,0,193,178,50043.6441082203,heaven,nFquHntF58vgXu9TBURTQePYXG3MnEGPPEQ1NiFr777,So11111111111111111111111111111111111111112,solana
