id,type,name,base_token_price_usd,base_token_price_native_currency,quote_token_price_usd,quote_token_price_native_currency,address,reserve_in_usd,pool_created_at,fdv_usd,market_cap_usd,price_change_percentage_h1,price_change_percentage_h24,transactions_h1_buys,transactions_h1_sells,transactions_h24_buys,transactions_h24_sells,volume_usd_h24,dex_id,base_token_id,quote_token_id,network_id
solana_3wbpAjoX1rxxYerML8WNRemVzhURfgwVM5RLyNG8gZjR,pool,LILPEPE / SOL,0.000000910765610973197221239067403588963512548543180968162675148052983,0.00000000400290306226477,215.248203858186543737468032297097775055730853853,1.0,3wbpAjoX1rxxYerML8WNRemVzhURfgwVM5RLyNG8gZjR,0.1723,2025-08-28T09:48:18Z,910.7656119108,,47.328,-99.572,3,3,159891,156667,250980930.331123,pumpswap,3tsDiiC2AyHg8RAttK4qpbG7HBUSjrM8Ho1h4kqUMgTr,So11111111111111111111111111111111111111112,solana
solana_GF3eEZrSBBF5aPMw3fHgLwTqGedptpAa3zkrE2fyxuvx,pool,CR7 / SOL,0.002111486549119099728437274854922004768036683025532877396730666896,0.00000909736135193654,212.688413258431127718719512579503484348925655741,1.0,GF3eEZrSBBF5aPMw3fHgLwTqGedptpAa3zkrE2fyxuvx,0.0,2025-08-28T02:56:27Z,2111486.55111149,,0,921.041,0,0,113411,109850,137673806.48796,pumpswap,GwDiTopw6oqaFrJT5rarqh6hZtFoRx7ttqLtd9kUaDNn,So11111111111111111111111111111111111111112,solana
solana_AQD2qkwgN9912VgMbnWSwQWXznJ6yVap2x9zxj9Y6zVC,pool,CR7 / SOL,0.001227342353367774372105186591422151256215129380404861533799508698,0.00000568477605558282,215.191972705396225699208463280967589723339982942,1.0,AQD2qkwgN9912VgMbnWSwQWXznJ6yVap2x9zxj9Y6zVC,1454656.5628,2025-08-28T14:54:26Z,1220334.88422033,,-5.624,644.745,14736,14201,99194,95556,239828075.630578,pumpswap,DpYM6PrT9fq2Mt6tmk7VE713AAxzFb7Rk5pBSDqcdoLq,So11111111111111111111111111111111111111112,solana
solana_6LUFdeQUj1VfHS1FhcgepCcno8uVp9Aasy1yZ6kMSYnr,pool,LILPEPE / SOL,0.0000464146642287330979962726751493019765943174929431911858192235946,0.000000168517835085076,208.847704464602789383611753973989931659049351114,1.0,6LUFdeQUj1VfHS1FhcgepCcno8uVp9Aasy1yZ6kMSYnr,0.0,2025-08-28T04:39:58Z,46414.6642764147,,0,-77.945,0,0,65235,62332,80715249.2071253,pumpswap,4bYfCPGS5J9jjuBkyWQ11CjmeMAHPGhXnq72M74tdBEL,So11111111111111111111111111111111111111112,solana
solana_EeL1pqFEWd4KcR6VeM1MGo3UCyZxpdK4K3YDfkX6dtEo,pool,SAMMY / SOL,0.000911740519003348936641326080985057426006797984378071784450947792,0.00000423739417648853,215.173591709624100200506334439189139764611721464,1.0,EeL1pqFEWd4KcR6VeM1MGo3UCyZxpdK4K3YDfkX6dtEo,125974.0994,2025-08-28T13:32:12Z,928613.4456,,12.147,780.156,25656,1273,117148,5347,2637590.05598699,pumpswap,Ex1NLkN594kKypu8oARjgPueWciBzxmgZ7YPwxVypump,So11111111111111111111111111111111111111112,solana
solana_AoJepVcuvvibVtmDQWDY44xD5wJyuzQ3vcB84AtUCsoX,pool,CNN / SOL,0.00000890411818138417208354693248796288038707426579129494186598186749,0.0000000400983323149157,214.646274337665540257342070554555764525020429799,1.0,AoJepVcuvvibVtmDQWDY44xD5wJyuzQ3vcB84AtUCsoX,14760.5436,2025-08-28T03:47:21Z,8899.301479166,,7.994,-90.14,2,4,69615,46626,6661154.70644207,pumpswap,2bPSPLVnEwk9KsaQ3S1sBm1khZkXG1Hpfpwnvipcjn99,So11111111111111111111111111111111111111112,solana
solana_B2EEgGz5oVAdQwefH2JELWhMVvKfp58fwowtBJM62StW,pool,CR7 / SOL,0.0001109909899255451668792064792904579997163073832530458427427363659,0.000000762714550612549,213.249502367168697005979405297658059752728696593,1.0,B2EEgGz5oVAdQwefH2JELWhMVvKfp58fwowtBJM62StW,0.0,2025-08-28T10:49:20Z,110990.990010991,,0,-30.719,0,0,57536,55974,127278492.581775,pumpswap,6Xg9rgZUsdzT1UmrmEYNgMAetTJcwFAPDWQLdwU2gMYX,So11111111111111111111111111111111111111112,solana
solana_URqx24yyYxtXXhTbBQnbtPLhtLWYoaDaRxuQuLpNS3S,pool,Cope / SOL,0.01114737950349493326739951879256242782204647162848618632012610702,0.0000519847807201613,215.191972705396225699208463280967589723339982942,1.0,URqx24yyYxtXXhTbBQnbtPLhtLWYoaDaRxuQuLpNS3S,528741.5575,2025-08-27T19:05:22Z,11095480.9897383,,-19.852,491.479,2167,1906,54126,50832,25168078.9514242,pumpswap,DMwbVy48dWVKGe9z1pcVnwF3HLMLrqWdDLfbvx8RchhK,So11111111111111111111111111111111111111112,solana
solana_6W8nq9hGPNW5SwL498qAHf7sQ7QzYYnjGkQ7NAvqhS9X,pool,CR7 / SOL,0.0000869259031379696426981194125791630859281398232061697554791078912,0.000660676532769556,212.014385048129461525149127883345667675522471883,1.0,6W8nq9hGPNW5SwL498qAHf7sQ7QzYYnjGkQ7NAvqhS9X,0.0643,2025-08-27T22:37:44Z,86925.9032269259,,0,-52.953,0,0,50008,48712,107013869.217181,pumpswap,FFbrzBaMaB5NAQm9avjP1aWgChonR2TNXPq87ZBcDmUr,So11111111111111111111111111111111111111112,solana
solana_FcZ1CEYoWL5ophWLQ4d9Kkjh6qYVuF5WK1DJ5usBgnBy,pool,LBRETT / SOL,0.00553898107056791062622848250864599787003782044800154463764810569,0.00223036806898519,215.571080700157204524934312971888094681873276513,1.0,FcZ1CEYoWL5ophWLQ4d9Kkjh6qYVuF5WK1DJ5usBgnBy,0.0431,2025-08-28T14:27:05Z,5538981.071,,0,72.559,0,1,47288,44389,112548348.154605,pumpswap,EhpATJCWjByQpw8c8MYaiGiSCSUuP2mXALe3KZDXe3yo,So11111111111111111111111111111111111111112,solana
