id,type,block_number,tx_hash,tx_from_address,from_token_amount,to_token_amount,price_from_in_currency_token,price_to_in_currency_token,price_from_in_usd,price_to_in_usd,block_timestamp,side,volume_usd,from_token_address,to_token_address
solana_363106602_432SvDgRKPzNWyZjZjv8cu8CS3tQtKGSJBCzQW4Ppwz5VYxEM3w1UChE9GYWeovMDwyBzWYX73fXHcwiXjbYuu9N_42_1756397712,trade,363106602,432SvDgRKPzNWyZjZjv8cu8CS3tQtKGSJBCzQW4Ppwz5VYxEM3w1UChE9GYWeovMDwyBzWYX73fXHcwiXjbYuu9N,8qcW84HGYGUF8Jqs2JwJyKRWeMm4ksNo9dVugMz9tUc5,2.505487036,10787911.48458,1.0,0.000000232249498856316,212.618160283895494927350632339277383984859223512,0.0000493804611736865774611869570754394294604142126779721093309794408,2025-08-28T16:15:08Z,buy,532.712044209470242119280771152461839182058804794342390432,So11111111111111111111111111111111111111112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump
solana_363105233_5htGYaDNrjcggfohBhYMvA2q3bPNdorPPPM6irPsBvnkXn8QBS1aFtqRbD4gEsoWKDaDYwqwg77yQTXPfmfGX6ko_42_1756397168,trade,363105233,5htGYaDNrjcggfohBhYMvA2q3bPNdorPPPM6irPsBvnkXn8QBS1aFtqRbD4gEsoWKDaDYwqwg77yQTXPfmfGX6ko,49LRMwB8HRiMPmTyrHsfPUTkoxxwhudL4ue2Rk3YT1sX,0.997995006,4475412.982855,1.0,0.000000222995064326633,211.80211874193665632466872600261735212952237173,0.000047230827093375367972524251586378905519791491674955847469759436,2025-08-28T16:06:03Z,buy,211.37745676467178578035770315499446035420679215181558038,So11111111111111111111111111111111111111112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump
solana_363102793_429jfdrFo2qGBxkAUExCS93uFRcckYJ3CuBMiBDE3GaEpaKkYaoRF3xZKiQCGRES489S81x43jqgqWyYRHn6eos5_30_1756396214,trade,363102793,429jfdrFo2qGBxkAUExCS93uFRcckYJ3CuBMiBDE3GaEpaKkYaoRF3xZKiQCGRES489S81x43jqgqWyYRHn6eos5,38E5K4JBstns1kmnRAL1wUNvSQqmX8gMDrguSoReTVyv,4788333.149542,1.063351106,0.000000222071245419026,1.0,0.0000467857202581947091842542403963085631928969356056494956671980794,210.678875465910683652448821485288709177264494087,2025-08-28T15:50:07Z,sell,224.0256152375124252633208605113249886639089193516000108766384621917753896348,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump,So11111111111111111111111111111111111111112
solana_363100870_2PiYC2yDAoWKqvDQwx1SAGDCFd89yKtGueVohMmRoWpAiM4BhsPEhqpqQ4d9m5nrgdtKNhpR3hHYStRVQqLnG2ZR_41_1756395452,trade,363100870,2PiYC2yDAoWKqvDQwx1SAGDCFd89yKtGueVohMmRoWpAiM4BhsPEhqpqQ4d9m5nrgdtKNhpR3hHYStRVQqLnG2ZR,GJK3ewrjTMUJnoiWGsMLt9pF6cN4Tda3Hn33GVHESwk,2241000.0,0.485465967,0.000000216629168674699,1.0,0.0000460070210989167647621761301529382980843483084125461277186899432,212.376852943581249101992551997073845766628163214,2025-08-28T15:37:24Z,sell,103.1017342826724698320367076727347260070245591525158722175841627112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump,So11111111111111111111111111111111111111112
solana_363099579_4QKdNgPpWCfLAXdDjihqQrCpGL3h2mHUucJHjqEHG9xwFtVxnZbX7m1LSNnAoYUWgb7dKYkGHpgrR1bCv26scpzD_30_1756394930,trade,363099579,4QKdNgPpWCfLAXdDjihqQrCpGL3h2mHUucJHjqEHG9xwFtVxnZbX7m1LSNnAoYUWgb7dKYkGHpgrR1bCv26scpzD,AXSvsQU7Fvz4nxkLvpUDz2Vn9ejmCCgUxSzroP1ieL7V,7538748.086899,1.671702405,0.000000221748012498935,1.0,0.0000470549332817521095110971695731130697781003730692133163853785272,212.200022681051740994779044017906173638369122814,2025-08-28T15:28:46Z,sell,354.7352882569687993235413293297999472974672819219300698152075817449542351528,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump,So11111111111111111111111111111111111111112
solana_363099481_2g6vmHTB5xGRrPFA8bZNj1yFBUS9YFkKCYST9gdjRBGio2pjDnnRCYhEA5jmnv7c2wSuJ5qVfdnrkPMtQwbWxZNU_30_1756394892,trade,363099481,2g6vmHTB5xGRrPFA8bZNj1yFBUS9YFkKCYST9gdjRBGio2pjDnnRCYhEA5jmnv7c2wSuJ5qVfdnrkPMtQwbWxZNU,Auz2uX5WspBUJ4Y7dKVGRkSMyRnQhpDoc6zPuWUEdJxw,2179116.721412,0.496513587,0.000000227850845308678,1.0,0.0000483256928738874560857419671927170828204896415695923006727087424,212.093542196074633079921925121759855000691370461,2025-08-28T15:28:07Z,sell,105.3073254153088852926351623084089150798702574736369998754311968038776722688,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump,So11111111111111111111111111111111111111112
solana_363098505_3QbPKTvmwQKvRCoyhjvURwYpJQgVxN5SwrG35kpUKnq1pNGcXkAMTHZgGiQgPMx9hKw7bMs4jnKNaxbw1CHKiyyh_52_1756394509,trade,363098505,3QbPKTvmwQKvRCoyhjvURwYpJQgVxN5SwrG35kpUKnq1pNGcXkAMTHZgGiQgPMx9hKw7bMs4jnKNaxbw1CHKiyyh,Auz2uX5WspBUJ4Y7dKVGRkSMyRnQhpDoc6zPuWUEdJxw,0.498997503,2179116.721412,1.0,0.000000228990718164314,213.209368844666889444357740189400864223357985714,0.0000488229664911004710007802331137443353529045468840251360598044816,2025-08-28T15:21:43Z,buy,106.390942669694772699511569793233778313497669146395672142,So11111111111111111111111111111111111111112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump
solana_363089474_5dYLaVjZ5FbGhRzLXYDr4GvYsEtCaxPz9fzSrHpDC5z9EiB4sU8mLUtpmcB42QJ2E9TcRf97CwkZabMpkEfFJuMh_62_1756390942,trade,363089474,5dYLaVjZ5FbGhRzLXYDr4GvYsEtCaxPz9fzSrHpDC5z9EiB4sU8mLUtpmcB42QJ2E9TcRf97CwkZabMpkEfFJuMh,AXSvsQU7Fvz4nxkLvpUDz2Vn9ejmCCgUxSzroP1ieL7V,0.558882231,2479892.094894,1.0,0.000000225365543989078,214.786918059421971612564430071760819789089860196,0.0000484055706301991112815895213598255849715244155820550893529672488,2025-08-28T14:22:16Z,buy,120.040591954663942065248676309749177062115490525818577276,So11111111111111111111111111111111111111112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump
solana_363088995_3F6QSii2qJoWmgUAGrVT5ricX8WQv3gLeJ9wTjvPMM54PNwgQ5gwUGPpmyhQnQfea3Krt9J3krS6jq7yzssnUE4z_213_1756390752,trade,363088995,3F6QSii2qJoWmgUAGrVT5ricX8WQv3gLeJ9wTjvPMM54PNwgQ5gwUGPpmyhQnQfea3Krt9J3krS6jq7yzssnUE4z,3KZhvK2P3BXUokv5BaJzQyjyn5CmXbybk3KVXkcqcsTg,0.990910625,4483106.430877,1.0,0.000000221032143733013,214.302801157211236537527356979083636431518408836,0.000047367807547768018700220451762295402858000420240547818964102868,2025-08-28T14:19:07Z,buy,212.3549226339429096544240692587418781036286761986862825,So11111111111111111111111111111111111111112,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump
solana_363088568_2p423DhY1opYzWQfyZtsSRqgYLtU1MNZ78QoP7KP9cKsg4ChrCMkhiZqhSjb6RpEubjFoQKxDno5q8A9JiQAaAXW_30_1756390586,trade,363088568,2p423DhY1opYzWQfyZtsSRqgYLtU1MNZ78QoP7KP9cKsg4ChrCMkhiZqhSjb6RpEubjFoQKxDno5q8A9JiQAaAXW,UP35J3iiV8Jx27YkTbKbWYXNR7hSTBqADxQwuCwiVxz,13060625.738101,2.952446331,0.000000226057035107208,1.0,0.0000484256718260667640205030684676117689980563669087605188301474014,214.218822268021145046680414762036777259910891513,2025-08-28T14:16:20Z,sell,632.4695758363600303269874789021372994829542462921328229690416134605021207414,5LKHMd2rMSRaG9y4iHwSLRtrJ3dCrJ2CytvBeak8pump,So11111111111111111111111111111111111111112
