id,type,name,base_token_price_usd,base_token_price_native_currency,quote_token_price_usd,quote_token_price_native_currency,address,reserve_in_usd,pool_created_at,fdv_usd,market_cap_usd,price_change_percentage_h1,price_change_percentage_h24,transactions_h1_buys,transactions_h1_sells,transactions_h24_buys,transactions_h24_sells,volume_usd_h24,dex_id,base_token_id,quote_token_id,network_id
solana_Gm41o6UNwrSqHF75YX5wsn6edpKBHhudAEtPbzgm5w38,pool,LEXILINGO / SOL,6.07217E-06,2.8333E-08,214.3145733,1,Gm41o6UNwrSqHF75YX5wsn6edpKBHhudAEtPbzgm5w38,4811.0515,2025-09-08T14:09:34Z,6072.170892,,0.681,0.681,3,2,3,2,399.4276462,pump-fun,2vYJqPsSXL3mUcsuEDYhj43bmLFj5Q7YVmzES6qxpump,So11111111111111111111111111111111111111112,solana
solana_4HKb4WxHaCyomXowJyecYkSfhzTLs5n7mDS57mJFPheZ,pool,DYNA / SOL,6.0074E-06,3.09107E-08,214.1153134,1,4HKb4WxHaCyomXowJyecYkSfhzTLs5n7mDS57mJFPheZ,5232.7914,2025-09-08T14:09:33Z,5998.341503,,-9.445,-9.445,4,3,4,3,778.9511641,pump-fun,GAHEGUsj1jY2qweouhBCmnCWko9CJTAgoeyAgPs9pump,So11111111111111111111111111111111111111112,solana
solana_59Vx4PnMmobTnqcP4rj6uSLY838B6bfyeLeHfFatFnsJ,pool,REVOLUTION / SOL,1.70731E-05,7.97392E-08,214.1110969,1,59Vx4PnMmobTnqcP4rj6uSLY838B6bfyeLeHfFatFnsJ,10478.965,2025-09-08T14:09:31Z,17073.05793,,67.345,67.345,10,2,10,2,1155.448983,pump-fun,XYbfSPjp36JFsSnPX32uz7uwjcmHs4YoHo2qhqSpump,So11111111111111111111111111111111111111112,solana
solana_DPQHz7oZVcW4q1JsMHbfmZxUQCPH3AxS7ovo31B8oEWV,pool,Nepal / SOL,5.25689E-05,2.08802E-07,214.1138023,1,DPQHz7oZVcW4q1JsMHbfmZxUQCPH3AxS7ovo31B8oEWV,43754.2878,2025-09-08T14:09:26Z,44747.54224,,44.53,44.53,3,1,3,1,2147.000875,meteora-dbc,8CgfFrbVG3cWaebeaZw3cDQ3krNAEBbPELAXr6FoC5ES,So11111111111111111111111111111111111111112,solana
solana_9hVfVXT3bpMMEBrHCLvfLFgmL7dxHpnu4RB55KJrksdW,pool,CRAZY / SOL,0.001152458,5.06897E-06,214.1153134,1,9hVfVXT3bpMMEBrHCLvfLFgmL7dxHpnu4RB55KJrksdW,847372.8942,2025-09-08T14:09:23Z,1152458.415,,121.057,121.057,38,31,38,31,26720.5106,meteora-dbc,F2uUUSDjPJZjjDzt1exkXPnuoySSwCaWhpC79ohJ2LBc,So11111111111111111111111111111111111111112,solana
solana_5bpCqYjdFjBEofRaBk5ctFjzSwZAcyRMtdSY9TmvwHqN,pool,SADLINGO / SOL,6.00201E-06,2.80056E-08,214.3145734,1,5bpCqYjdFjBEofRaBk5ctFjzSwZAcyRMtdSY9TmvwHqN,4807.2259,2025-09-08T14:09:20Z,6002.00993,,-12.022,-12.022,7,5,7,5,981.7683447,pump-fun,2yHNWUKZteURK4FJpBytiPKge8wWShxbSZ6uXeJZpump,So11111111111111111111111111111111111111112,solana
solana_BCqZ6zCW1BBPWFCQQqtnSchxHnEucDya78j9R23Mk5oF,pool,CFX / SOL,0.000147203,6.78212E-07,214.1138023,1,BCqZ6zCW1BBPWFCQQqtnSchxHnEucDya78j9R23Mk5oF,70721.8975,2025-09-08T14:09:18Z,147088.9757,,0,0,3,0,3,0,858.9053017,pumpswap,Gz5hpNuSX5BNqqEMYm9N4U82qvjeXyshABHo6wtWqSc7,So11111111111111111111111111111111111111112,solana
solana_AqAUuESR3V4kGd2G9wimzp6YCrtj8b7DfYBKrSdaUeqc,pool,IRYNA / SOL,0.001866616,8.59966E-06,214.2982132,1,AqAUuESR3V4kGd2G9wimzp6YCrtj8b7DfYBKrSdaUeqc,1430621.022,2025-09-08T14:09:17Z,1866615.846,,847.97,847.97,17,13,17,13,44986.86467,meteora-dbc,8RgUbhLFZC8xjU3TAYFBYdCCqb3mLYuZEYRDfzK3iYzw,So11111111111111111111111111111111111111112,solana
solana_FSm7M5w3gBUUcBhFbDX9yCbPVrSzKDwPrGEoV4H4irZZ,pool,Orgasm / SOL,5.99214E-06,2.79635E-08,214.2839438,1,FSm7M5w3gBUUcBhFbDX9yCbPVrSzKDwPrGEoV4H4irZZ,4762.2362,2025-09-08T14:09:15Z,5992.139515,,-0.068,-0.068,2,2,2,2,14.79726904,pump-fun,4gtYjZ79fgHx8vqLfSKnwNQMxDskGp5acGygFw5Npump,So11111111111111111111111111111111111111112,solana
solana_7LhonaJiFguUX49ZE7jBKfDUzz5GsA6zBVWFsF1mR67w,pool,DEMAGAFY / SOL,6.78999E-06,3.16869E-08,214.2839441,1,7LhonaJiFguUX49ZE7jBKfDUzz5GsA6zBVWFsF1mR67w,6001.5872,2025-09-08T14:09:10Z,6789.985181,,-11.929,-11.929,2,2,2,2,1748.203261,pump-fun,7j1AhLAUTJgiGxS3h4pQbQfp5in2jNm6k72BvUiSNdmG,So11111111111111111111111111111111111111112,solana
solana_B9xmPQ1z7Y5h8DtbSSMXGAFiTtVPb8TTmNovEyD1Wycp,pool,Sultan / SOL,6.29947E-06,2.93936E-08,214.3145734,1,B9xmPQ1z7Y5h8DtbSSMXGAFiTtVPb8TTmNovEyD1Wycp,4896.9594,2025-09-08T14:09:10Z,6890.239964,,13.915,13.915,12,6,12,6,2791.786624,pump-fun,78khQbpGA1r9MPzmBJbryGaYTbBckuf1mnXGKaPApump,So11111111111111111111111111111111111111112,solana
solana_6FdUZcaRgWhavUfxkNUT1tEZnjjvj7yimMRPgZ6qyPG3,pool,USELESS / SOL,1.24361E-05,6.03359E-08,214.2982132,1,6FdUZcaRgWhavUfxkNUT1tEZnjjvj7yimMRPgZ6qyPG3,8772.7523,2025-09-08T14:09:08Z,13005.83733,,111.258,111.258,20,4,20,4,3423.833745,pump-fun,BgPoEA5sajdEdQauqjPdhxJdQxA2ofoE3hi1SG6Mpump,So11111111111111111111111111111111111111112,solana
