id,type,name,base_token_price_usd,base_token_price_native_currency,quote_token_price_usd,quote_token_price_native_currency,address,reserve_in_usd,pool_created_at,fdv_usd,market_cap_usd,price_change_percentage_h1,price_change_percentage_h24,transactions_h1_buys,transactions_h1_sells,transactions_h24_buys,transactions_h24_sells,volume_usd_h24,dex_id,base_token_id,quote_token_id,network_id
solana_jbZxBTj6DKvTzjLSHN1ZTgj1Ef7f7n7ZunopXvGVNrU,pool,TTT / SOL,0.00000624687431254452673752283598763667471364327130720468215284681534,0.0000000289741442664942,215.601684560135079332598461935928357530845838586,1.0,jbZxBTj6DKvTzjLSHN1ZTgj1Ef7f7n7ZunopXvGVNrU,4950.9122,2025-09-09T21:27:52Z,,,-6.886,-6.886,1,2,1,2,111.1914737837,pump-fun,9oZzjkRV6bjKP5EHnnavgNkjj55LTn9gKNkeZiXepump,So11111111111111111111111111111111111111112,solana
solana_D8ZkcRGLQwtsbJzy7qKKuVoV9sJfV3eMY5iuXYtcSiq7,pool,imagine / SOL,0.00000644539418679138507420199928194502309029896596227960633281618633,0.0000000318323396782238,215.538241858878712637963431681575794684146478163,1.0,D8ZkcRGLQwtsbJzy7qKKuVoV9sJfV3eMY5iuXYtcSiq7,5732.7191,2025-09-09T21:27:50Z,6445.3941867914,,8.132,8.132,13,8,13,8,2564.1099651559,pump-fun,AazcY9KDXD7ti6sfTGD6etrychuRupN4J36QnNapump,So11111111111111111111111111111111111111112,solana
solana_4Tik215YJA8Xz6dbqd2VJMf5fRDuVTXi9dQp5GPa7WJp,pool,RAH / SOL,0.00000655138388880741466000558362034476341440461965429981629800133299,0.0000000303828400780802,215.627764618816481337768541673193429577669244547,1.0,4Tik215YJA8Xz6dbqd2VJMf5fRDuVTXi9dQp5GPa7WJp,5182.704,2025-09-09T21:27:50Z,6551.3838888074,,5.207,5.207,1,1,1,1,336.7477539004,pump-fun,fYx6FW3g7hmNroGEKwbrVffuGFQLpsMihUroT16pump,So11111111111111111111111111111111111111112,solana
solana_BRR1cDUCpL8Jkk8Rwz9CkAnX9QBLMj58RFDbVGQFqM7f,pool,FUCKASS / SOL,0.00000634191334111609161182401307253187948156811639820400232248665414,0.0000000294113949209056,215.627764618816481337768541673193429577669244547,1.0,BRR1cDUCpL8Jkk8Rwz9CkAnX9QBLMj58RFDbVGQFqM7f,6341.6928,2025-09-09T21:27:47Z,,,-2.643,-2.643,1,1,1,1,851.6356300928,raydium-launchlab,6eJg5hw3Vz1pxB4wavsC9sMTfRXEo7LGzbLXzfNJbonk,So11111111111111111111111111111111111111112,solana
solana_C7HygZRS1qwyRCePW7W71J2b6zYBavqCB8DBLkVLkma1,pool,JASON / SOL,0.00000613357871198803299520984920636551242428744409680892391312031354,0.0000000284486585738029,215.601684560135079332598461935928357530845838586,1.0,C7HygZRS1qwyRCePW7W71J2b6zYBavqCB8DBLkVLkma1,4989.6267,2025-09-09T21:27:41Z,6133.578712,,-9.708,-9.708,2,2,2,2,576.5251459998,pump-fun,EKUemFsWfZo7Ek2uJ3W3zPgZT9L5gNTs4diYF31fpump,So11111111111111111111111111111111111111112,solana
solana_2ATieDw8W8tKi1MYVtFGNke2uCxAasLp8dtabK8DNbg3,pool,EDGE / SOL,0.0000060419222212115422900171781220096781102764697565152023321520108,0.0000000280193700108156,215.633764031072896002818926847990857186046561432,1.0,2ATieDw8W8tKi1MYVtFGNke2uCxAasLp8dtabK8DNbg3,4791.1222,2025-09-09T21:27:40Z,6041.9222212115,,0.183,0.183,3,0,3,0,9.6768980976,pump-fun,CUwwrumtHhxkVBcPH5iXvmxtJe87TujUEqk4Qs5Epump,So11111111111111111111111111111111111111112,solana
solana_mkoTBcJtnBSndA86mexkJu8c9aPjjSSNgkXCoBAtmAm,pool,Yuge / SOL,0.0000060377230982021217829720383816429508135396437615217393504314686,0.0000000280055918638908,215.589912455551766910112921606355219613291226735,1.0,mkoTBcJtnBSndA86mexkJu8c9aPjjSSNgkXCoBAtmAm,5952.5667,2025-09-09T21:27:38Z,6037.7230982021,,18.495,18.495,4,2,4,2,1596.1197121914,pump-fun,CMrrmHipHAcNcwqEmeZ5nUT3NPTdyUXoC2a6pY4Spump,So11111111111111111111111111111111111111112,solana
solana_Apxj5Z3BoZcSduwPGvdMbS927BdqbD3RZhgrU5aiYDUP,pool,CN / SOL,0.00000620306264766549877547586327557789927530331661742128435973304646,0.0000000362150734271914,215.539391986912816671707533088223227272538496057,1.0,Apxj5Z3BoZcSduwPGvdMbS927BdqbD3RZhgrU5aiYDUP,6067.7761,2025-09-09T21:27:36Z,6191.901295,,-19.315,-19.315,39,35,39,35,6944.7212620112,pump-fun,GG368b5zKycLRK4G88yZDpZRjwYgQkt825KCcnHCpump,So11111111111111111111111111111111111111112,solana
solana_DKwpRyZnaxcyy4m2AxqbEtWh5RTBsTUJj6X7MnFmFaWE,pool,retard / SOL,0.00000603772309699482042912007304246398755367327059523950461362773595,0.0000000307203755470645,215.589912455551766910112921606355219613291226735,1.0,DKwpRyZnaxcyy4m2AxqbEtWh5RTBsTUJj6X7MnFmFaWE,5868.0416,2025-09-09T21:27:34Z,6037.7230969948,,13.349,13.349,2,1,2,1,752.7547419629,pump-fun,97XkTS25U1Z9r9wsPL4jxS8muizfz3sLFWEJdLqvpump,So11111111111111111111111111111111111111112,solana
solana_Dm3b6ofC3X6pxp7Xr9ec25P1Ntf9Jrqi3UWFCbShSC2Q,pool,Yuge / SOL,0.00000651712169308101631484041528426355149661804165610432136134958775,0.0000000302292515398867,215.589912455551766910112921606355219613291226735,1.0,Dm3b6ofC3X6pxp7Xr9ec25P1Ntf9Jrqi3UWFCbShSC2Q,5186.7361,2025-09-09T21:27:34Z,6517.121693081,,-3.606,-3.606,3,4,3,4,1255.026618008,pump-fun,9YWGvhRySoT4dEmtr4pEHgXR94rvnbV1ZM2gYHkBpump,So11111111111111111111111111111111111111112,solana
