timestamp,endpoint,timeframe,ranking,tokenSymbol,tokenName,chain,dex,price,age,transactions,volume,makers,priceChange5m,priceChange1h,priceChange6h,priceChange24h,liquidity,marketCap,detailUrl
12/17/2025 21:20,reference,6h,1,DINO,DINOSOL,SOL,PumpSwap,0.001132,12d,29560,1100000,3838,1.05,-10.78,5.94,77.11,134000,996000,/solana/26m5m3nwgake4zavkd3zetys5hjwdxe6xbwpdtslhy1o
12/17/2025 21:20,reference,6h,2,CALVIN,Calvin,SOL,PumpSwap,0.001829,7d,27122,1200000,12628,-5.66,6.78,6.27,62.59,175000,1800000,/solana/3ismqtviyuhggvmbxoui7h5fwq5ktjwaeonvcnq1uqds
12/17/2025 21:20,reference,6h,3,SANTA,SANTA,SOL,Raydium,0.006221,1y,106224,268000,104729,-0.21,-6.71,-12.52,-14.82,113000,1000000,/solana/ejuwjjff9rcdm6ndrh84awhzfbcybytckzvsbspltwh9
12/17/2025 21:20,reference,6h,4,2026,2026,SOL,PumpSwap,0.0001738,4d,38799,718000,30005,-9.53,-6,-27.93,120,41000,173000,/solana/4gfcd6rzk8cjqezwcnfjsp9wva3zstkswvbyqvaaj5hp
12/17/2025 21:20,reference,6h,5,https,had to take profits sir,SOL,PumpSwap,0.0009551,18h,30610,2000000,5500,-3.33,2.81,190,1692,98000,955000,/solana/amk2hphohkte2tcjwkbfmpyr3jimds3j19xgdhx4zclk
12/17/2025 21:20,reference,6h,6,PURK,Purple Wojak,SOL,PumpSwap,0.0001185,4h,4256,137000,2171,6.41,157,132,132,32000,118000,/solana/8rqzhgyopksvxqepimmel27ehcn3fczr1uwebbtwnyvm
12/17/2025 21:20,reference,6h,7,BULLISH,Bullish Degen,SOL,PumpSwap,0.01524,2mo,6821,758000,1429,-0.74,-7.41,-21.36,-17.59,446000,15200000,/solana/gc1utsxrrlauwby3uwsemjuxhjmjhhv1sxj9a1jhvyxp
12/17/2025 21:20,reference,6h,8,SPANKMAS,SPANKMAS,SOL,PumpSwap,0.0005573,4d,13267,565000,7529,-6.45,-7.31,-24.57,-3.28,73000,557000,/solana/gthnszpjpnrf1up1amxds24qzqggnwct8qycwudm16vw
12/17/2025 21:20,reference,6h,9,pippin,Pippin,SOL,Raydium,0.4013,1y,85650,33600000,2057,0.05,-0.92,-0.5,4.98,12900000,401300000,/solana/8wwcnqdzjcy5pt7akhupafknv2txca9sq6ybkgzlbvdt
12/17/2025 21:20,reference,6h,10,XMAS,xmas cult,SOL,PumpSwap,0.0002308,15d,109561,140000,108086,1.05,15.54,2.06,29.2,61000,225000,/solana/h6uxy1hggxuq82qkbid6ozanza2ot3g6r9k71guvaqdy
12/17/2025 21:20,reference,6h,11,SNOW,Snow Bunny Season,SOL,PumpSwap,0.0002017,22h,43095,1700000,2444,5.34,-2.49,17.97,272,45000,201000,/solana/hn9tvhwvzjahbjfzynyhyjwekgqewjdmhsymy94shcpv
12/17/2025 21:20,reference,6h,12,Dumplings,Squishy Dumplings,SOL,PumpSwap,0.001055,3d,12844,1600000,2663,-4.84,12.52,7.05,185,106000,1000000,/solana/5dykzgnyefb9wgakydkybepdgohygv63c7grqlsxs3fh
12/17/2025 21:20,reference,6h,13,pSOQ,SoQuBit,SOL,PumpSwap,0.0006007,4h,8286,968000,1601,-3.74,51.44,1062,1062,74000,600000,/solana/em9nypqcbyrz8zbxzui2lazbtcy2zbvja49ntxhi3pq8
12/17/2025 21:20,reference,6h,14,JEET,JEET,SOL,PumpSwap,0.0003981,1d,16779,1200000,3312,-11.42,-5.72,-6.77,155,62000,398000,/solana/hrmwhfwptsena5skn9ecprdq4fcdzowslytwykupfmhb
12/17/2025 21:20,reference,6h,15,POLY,Polymarket,SOL,PumpSwap,0.01225,19h,12761,341000,3461,-0.2,233,3581,22975,7200000,12200000,/solana/8ntn93uzinhcchdtmbvktpswpv1uou5lbzkttims4szi
12/17/2025 21:20,reference,6h,16,BARRON,Official Barron Trump,USD1,Raydium,0.0003574,2d,16642,1400000,3564,-1.86,16.48,-48.22,-38.41,68000,357000,/solana/j59dng72mwix445tkpgrpeznypkx9djg6wpnjmkxftqy
12/17/2025 21:20,reference,6h,17,RYU,Ryu Inu,WBNB,PancakeSwap,0.064227,1mo,5566,463000,1770,0.19,5.73,10.38,36.39,89000,157000,/bsc/0xbddc278b8b4c692af2f18df2b42bf57d3fd61127
12/17/2025 21:20,reference,6h,18,WOJAK,Wojak,SOL,PumpSwap,0.02737,1mo,9627,2800000,2121,-0.38,-3.46,-14.13,11.23,764000,27300000,/solana/fdry5i5kuadz1ik8gps26qjj9rw9mpufxmeggc2hnsp7
12/17/2025 21:20,reference,6h,19,Franklin,Franklin The Turtle,SOL,PumpSwap,0.001914,16d,4408,813000,1652,-1.09,-1.58,-21.7,-28.28,231000,1900000,/solana/8wxzwpljk6qjmyyc1vhuennxrvw2nfgvqjgenv4mv8sy
12/17/2025 21:20,reference,6h,20,FRANKLIN,Franklin the Based Turtle,USD1,Raydium,0.001562,16d,7007,1200000,1243,-1.07,5.71,1.76,35.8,234000,1500000,/solana/j3rkgt8jvj2crugawe5n1gtxuifl8runumqhszpcspvm
12/17/2025 21:20,reference,6h,21,PURCH,Purch,SOL,PumpSwap,0.0002211,3h,6160,653000,1248,-3.51,1.49,333,333,44000,221000,/solana/arsufvuvr6p2ptvjoiuwimecobjc2bshrn2domgfidv6
12/17/2025 21:20,reference,6h,22,TROLL,TROLL,SOL,PumpSwap,0.03759,7mo,4499,1900000,769,0.25,-1.44,-12.82,4.53,2300000,37500000,/solana/4w2cysotx6czaugmmwg13hdpy4qemg2czekyeqyk9ama
12/17/2025 21:20,reference,6h,23,Hachiko,Hachiko Inu,WBNB,PancakeSwap,0.0003732,3d,3184,315000,1027,-0.33,2.67,-6.46,-27.97,69000,367000,/bsc/0xe6edc555061d1d9fe0145867b7ea7b07da840898
